UserID,TrialID,TaskID,Answer,CompletionTime,Dataset,Layout,QuestionType,QuestionID,CorrectAnswer
6,1,Training,France,50.57792,Bar,Full-Circle,Long Distance,6,France
6,2,Training,Australia,35.15701,Bar,Full-Circle,Long Distance,7,Australia
6,3,1,Denmark,31.18926,Bar,Full-Circle,Long Distance,8,Denmark
6,4,2,Belgium,38.68311,Bar,Full-Circle,Long Distance,9,Canada
6,5,3,Canada,29.37988,Bar,Full-Circle,Long Distance,10,Canada
6,6,Training,Belgium,58.40823,Bar,Half-Circle,Long Distance,11,Canada
6,7,Training,Australia,48.47076,Bar,Half-Circle,Long Distance,12,Australia
6,8,4,Belgium,19.62393,Bar,Half-Circle,Long Distance,13,Belgium
6,9,5,Denmark,28.59178,Bar,Half-Circle,Long Distance,14,Denmark
6,10,6,Australia,36.43367,Bar,Half-Circle,Long Distance,15,Australia
6,11,Training,Belgium,32.22185,Bar,Flat,Long Distance,1,Belgium
6,12,Training,Belgium,44.99944,Bar,Flat,Long Distance,2,Belgium
6,13,7,Belgium,25.93993,Bar,Flat,Long Distance,3,Belgium
6,14,8,Belgium,32.40712,Bar,Flat,Long Distance,4,Belgium
6,15,9,Denmark,28.4823,Bar,Flat,Long Distance,5,Denmark
6,16,Training,2011,119.5174,Bar,Full-Circle,Trending,21,2014
6,17,Training,2015,46.48933,Bar,Full-Circle,Trending,22,2015
6,18,10,1984,20.55059,Bar,Full-Circle,Trending,23,1983
6,19,11,1984,38.21272,Bar,Full-Circle,Trending,24,1984
6,20,12,2003,44.56207,Bar,Full-Circle,Trending,25,2003
6,21,Training,1992,44.25154,Bar,Half-Circle,Trending,26,1992
6,22,Training,1988,16.80474,Bar,Half-Circle,Trending,27,1988
6,23,13,2010,33.12619,Bar,Half-Circle,Trending,28,2010
6,24,14,1999,53.14517,Bar,Half-Circle,Trending,29,1999
6,25,15,2006,37.59618,Bar,Half-Circle,Trending,30,2006
6,26,Training,2000,44.6544,Bar,Flat,Trending,16,2000
6,27,Training,2009,34.48209,Bar,Flat,Trending,17,2009
6,28,16,2014,29.88919,Bar,Flat,Trending,18,2014
6,29,17,1988,24.90485,Bar,Flat,Trending,19,1988
6,30,18,1995,50.78078,Bar,Flat,Trending,20,1995
