UserID,Task,Answer,CompletionTime,Dataset,Layout,QuestionLevel,QuestionID,CorrectAnswer
12,Training,Norway,59.51384,Bar,Half-Circle,1,46,Norway
12,Training,1993,59.51032,Bar,Half-Circle,2,49,1993
12,1,Belgium,59.50882,Bar,Half-Circle,1,47,Belgium
12,2,Norway,59.51798,Bar,Half-Circle,1,48,Netherlands
12,3,1989,59.50745,Bar,Half-Circle,2,50,1989
12,4,1991,59.51229,Bar,Half-Circle,2,51,1991
12,Training,France,51.13682,Bar,Quarter-Circle,1,37,France
12,1,Netherlands,49.56465,Bar,Quarter-Circle,1,38,Denmark
12,2,France,59.52047,Bar,Quarter-Circle,1,39,France
12,3,1992,59.50294,Bar,Quarter-Circle,2,41,1992
12,4,1995,49.49585,Bar,Quarter-Circle,2,42,1995
12,Training,Belgium,59.50161,Bar,Flat,1,28,Belgium
12,1,Australia,59.50448,Bar,Flat,1,29,Australia
12,2,Canada,44.67041,Bar,Flat,1,30,Canada
12,3,1989,17.59892,Bar,Flat,2,32,1989
12,4,1990,54.15672,Bar,Flat,2,33,1990
12,Training,Sensor L,59.50203,BIM,Half-Circle,1,19,Sensor L
12,Training,Sensor C,32.23518,BIM,Half-Circle,2,22,Sensor C
12,1,Sensor C,13.21236,BIM,Half-Circle,1,20,Sensor C
12,2,Sensor B,22.92793,BIM,Half-Circle,1,21,Sensor B
12,3,Sensor G,13.63992,BIM,Half-Circle,2,23,Sensor G
12,4,Sensor G,12.6577,BIM,Half-Circle,2,24,Sensor G
12,Training,Sensor L,11.33511,BIM,Quarter-Circle,1,10,Sensor L
12,1,Sensor B,12.22614,BIM,Quarter-Circle,1,11,Sensor B
12,2,Sensor L,15.85664,BIM,Quarter-Circle,1,12,Sensor L
12,3,Sensor L,17.23167,BIM,Quarter-Circle,2,14,Sensor L
12,4,Sensor L,11.72068,BIM,Quarter-Circle,2,15,Sensor B
12,Training,Sensor B,8.858757,BIM,Flat,1,1,Sensor B
12,1,Sensor D,15.90076,BIM,Flat,1,2,Sensor D
12,2,Sensor H,19.54866,BIM,Flat,1,3,Sensor H
12,3,Sensor B,23.51289,BIM,Flat,2,5,Sensor B
12,4,Sensor G,13.6086,BIM,Flat,2,6,Sensor G
