UserID,Task,Answer,CompletionTime,Dataset,Layout,QuestionLevel,QuestionID,CorrectAnswer
11,Training,Sensor L,42.2423,BIM,Half-Circle,1,19,Sensor L
11,Training,Sensor C,33.30499,BIM,Half-Circle,2,22,Sensor C
11,1,Sensor C,36.19505,BIM,Half-Circle,1,20,Sensor C
11,2,Sensor B,18.10162,BIM,Half-Circle,1,21,Sensor B
11,3,Sensor D,33.35033,BIM,Half-Circle,2,23,Sensor G
11,4,Sensor G,23.11911,BIM,Half-Circle,2,24,Sensor G
11,Training,Sensor L,46.99619,BIM,Quarter-Circle,1,10,Sensor L
11,1,Sensor B,11.81688,BIM,Quarter-Circle,1,11,Sensor B
11,2,Sensor L,26.471,BIM,Quarter-Circle,1,12,Sensor L
11,3,Sensor L,17.10724,BIM,Quarter-Circle,2,14,Sensor L
11,4,Sensor B,15.45294,BIM,Quarter-Circle,2,15,Sensor B
11,Training,Sensor B,18.3779,BIM,Flat,1,1,Sensor B
11,1,Sensor D,24.13266,BIM,Flat,1,2,Sensor D
11,2,Sensor H,18.29842,BIM,Flat,1,3,Sensor H
11,3,Sensor B,20.92787,BIM,Flat,2,5,Sensor B
11,4,Sensor G,8.851292,BIM,Flat,2,6,Sensor G
11,Training,Norway,59.53505,Bar,Half-Circle,1,46,Norway
11,Training,1993,59.5168,Bar,Half-Circle,2,49,1993
11,1,Belgium,59.50862,Bar,Half-Circle,1,47,Belgium
11,2,Netherlands,59.50279,Bar,Half-Circle,1,48,Netherlands
11,3,1989,59.52462,Bar,Half-Circle,2,50,1989
11,4,1991,59.51869,Bar,Half-Circle,2,51,1991
11,Training,France,35.45335,Bar,Quarter-Circle,1,37,France
11,1,Italy,59.51247,Bar,Quarter-Circle,1,38,Denmark
11,2,France,59.51584,Bar,Quarter-Circle,1,39,France
11,3,1992,37.1407,Bar,Quarter-Circle,2,41,1992
11,4,1995,38.26869,Bar,Quarter-Circle,2,42,1995
11,Training,Belgium,59.50581,Bar,Flat,1,28,Belgium
11,1,Australia,42.42709,Bar,Flat,1,29,Australia
11,2,Canada,55.44695,Bar,Flat,1,30,Canada
11,3,1989,23.26934,Bar,Flat,2,32,1989
11,4,1990,59.18459,Bar,Flat,2,33,1990
