UserID,Task,Answer,CompletionTime,Dataset,Layout,QuestionLevel,QuestionID,CorrectAnswer
5,Training,Sensor L,25.30571,BIM,Quarter-Circle,1,10,Sensor L
5,Training,Sensor L,32.24699,BIM,Quarter-Circle,2,13,Sensor L
5,1,Sensor L,13.20413,BIM,Quarter-Circle,1,11,Sensor B
5,2,Sensor K,13.58284,BIM,Quarter-Circle,1,12,Sensor L
5,3,Sensor E,14.28412,BIM,Quarter-Circle,2,14,Sensor L
5,4,Sensor L,16.99179,BIM,Quarter-Circle,2,15,Sensor B
5,Training,Sensor B,59.52384,BIM,Flat,1,1,Sensor B
5,1,Sensor L,21.8769,BIM,Flat,1,2,Sensor D
5,2,Sensor H,13.97248,BIM,Flat,1,3,Sensor H
5,3,Sensor B,17.38344,BIM,Flat,2,5,Sensor B
5,4,Sensor G,8.979317,BIM,Flat,2,6,Sensor G
5,Training,Sensor L,59.50922,BIM,Half-Circle,1,19,Sensor L
5,1,Sensor C,10.45607,BIM,Half-Circle,1,20,Sensor C
5,2,Sensor B,14.77849,BIM,Half-Circle,1,21,Sensor B
5,3,Sensor G,16.85066,BIM,Half-Circle,2,23,Sensor G
5,4,Sensor G,9.169136,BIM,Half-Circle,2,24,Sensor G
5,Training,France,59.50787,Bar,Quarter-Circle,1,37,France
5,Training,1992,59.50509,Bar,Quarter-Circle,2,40,1992
5,1,Austria,32.13342,Bar,Quarter-Circle,1,38,Denmark
5,2,France,20.07939,Bar,Quarter-Circle,1,39,France
5,3,1994,51.23814,Bar,Quarter-Circle,2,41,1992
5,4,1989,37.80205,Bar,Quarter-Circle,2,42,1995
5,Training,Belgium,59.50602,Bar,Flat,1,28,Belgium
5,1,Australia,24.38963,Bar,Flat,1,29,Australia
5,2,Belgium,18.00165,Bar,Flat,1,30,Canada
5,3,1989,17.16161,Bar,Flat,2,32,1989
5,4,1990,36.95511,Bar,Flat,2,33,1990
5,Training,Norway,59.52647,Bar,Half-Circle,1,46,Norway
5,1,Belgium,18.48465,Bar,Half-Circle,1,47,Belgium
5,2,Netherlands,39.18054,Bar,Half-Circle,1,48,Netherlands
5,3,1989,20.61697,Bar,Half-Circle,2,50,1989
5,4,1991,26.97725,Bar,Half-Circle,2,51,1991
