Country,Year,Value
Austria,1989,2824.27
Austria,1990,2793.98
Austria,1991,2924.12
Austria,1992,3007.77
Austria,1993,3041.04
Austria,1994,3171.19
Austria,1995,3419.93
Austria,1996,3341.87
Austria,1997,3340.16
Austria,1998,2472.72
France,1989,2371.55
France,1990,2695.15
France,1991,2894.87
France,1992,3287.49
France,1993,3085.41
France,1994,2953.4
France,1995,2533.73
France,1996,2560.46
France,1997,2141.07
France,1998,2207.92
Australia,1989,2366.88
Australia,1990,2507.97
Australia,1991,2721.69
Australia,1992,2898.24
Australia,1993,3057.5
Australia,1994,3305.47
Australia,1995,3109.13
Australia,1996,1636.51
Australia,1997,1724.18
Australia,1998,1880.9
Belgium,1989,2114.08
Belgium,1990,2261.29
Belgium,1991,2415.51
Belgium,1992,2840.41
Belgium,1993,3073.78
Belgium,1994,3206.67
Belgium,1995,1915.48
Belgium,1996,2029.5
Belgium,1997,2174.84
Belgium,1998,2330.52
Canada,1989,2344.65
Canada,1990,2561.63
Canada,1991,2535.7
Canada,1992,2645.58
Canada,1993,2637.94
Canada,1994,1998.4
Canada,1995,2118.76
Canada,1996,2144.92
Canada,1997,2256.28
Canada,1998,2374.44
Netherlands,1989,2452.92
Netherlands,1990,2414.13
Netherlands,1991,2571.07
Netherlands,1992,2741.77
Netherlands,1993,1768.91
Netherlands,1994,1808.65
Netherlands,1995,1887.99
Netherlands,1996,2046.4
Netherlands,1997,2036.77
Netherlands,1998,2019.87
Italy,1989,2299.16
Italy,1990,2396.95
Italy,1991,2451.39
Italy,1992,1746.55
Italy,1993,1774.64
Italy,1994,1676.33
Italy,1995,1678.81
Italy,1996,1775.45
Italy,1997,2232.27
Italy,1998,2226.68
Denmark,1989,2031.3
Denmark,1990,2102.76
Denmark,1991,2279.74
Denmark,1992,2374.11
Denmark,1993,2299.23
Denmark,1994,2248.6
Denmark,1995,2169.11
Denmark,1996,1999.39
Denmark,1997,1741.5
Denmark,1998,1695.13
United States,1989,1651.07
United States,1990,2385
United States,1991,2365.48
United States,1992,2491.29
United States,1993,2422.43
United States,1994,2421.86
United States,1995,2344.44
United States,1996,2103.87
United States,1997,1823.06
United States,1998,1817.58
Norway,1989,1651.07
Norway,1990,2085.05
Norway,1991,2113.87
Norway,1992,1823.56
Norway,1993,1994.42
Norway,1994,2231.32
Norway,1995,1959.22
Norway,1996,2352.74
Norway,1997,1904.93
Norway,1998,2310.25
