Country,Year,Value
Qatar,1968,75.38
Qatar,1972,81.82
Qatar,1976,58.73
Qatar,1980,56.79
Qatar,1984,39.18
Qatar,1988,27.76
Qatar,1992,50.62
Qatar,1996,49.68
Qatar,2000,46.65
Qatar,2004,44.02
Luxembourg,1968,36.53
Luxembourg,1972,38.94
Luxembourg,1976,32.82
Luxembourg,1980,29.02
Luxembourg,1984,23.32
Luxembourg,1988,23.04
Luxembourg,1992,30.12
Luxembourg,1996,20.3
Luxembourg,2000,18.77
Luxembourg,2004,23.92
Kuwait,1968,35.52
Kuwait,1972,32.82
Kuwait,1976,17.24
Kuwait,1980,18.01
Kuwait,1984,17.32
Kuwait,1988,16.68
Kuwait,1992,14.07
Kuwait,1996,29.51
Kuwait,2000,36.03
Kuwait,2004,36.03
Brunei,1968,3.7
Brunei,1972,66.86
Brunei,1976,37.27
Brunei,1980,37.16
Brunei,1984,9
Brunei,1988,23.52
Brunei,1992,21.22
Brunei,1996,18.31
Brunei,2000,19.4
Brunei,2004,16.63
Bahrain,1968,5.31
Bahrain,1972,15.95
Bahrain,1976,24.02
Bahrain,1980,22.69
Bahrain,1984,22.55
Bahrain,1988,25.91
Bahrain,1992,20
Bahrain,1996,26.65
Bahrain,2000,31.15
Bahrain,2004,26.63
Bahamas,1968,10.36
Bahamas,1972,36.39
Bahamas,1976,33.45
Bahamas,1980,38.06
Bahamas,1984,8.07
Bahamas,1988,6.21
Bahamas,1992,6.79
Bahamas,1996,6.21
Bahamas,2000,6.19
Bahamas,2004,6.7
New Caledonia,1968,18.5
New Caledonia,1972,13.59
New Caledonia,1976,17.77
New Caledonia,1980,14.36
New Caledonia,1984,8.06
New Caledonia,1988,9.56
New Caledonia,1992,10.08
New Caledonia,1996,9.33
New Caledonia,2000,11.39
New Caledonia,2004,11.94
Singapore,1968,2.69
Singapore,1972,10.33
Singapore,1976,13.1
Singapore,1980,13.02
Singapore,1984,12.18
Singapore,1988,12.58
Singapore,1992,15.53
Singapore,1996,15.06
Singapore,2000,12.97
Singapore,2004,11.7
Faeroe Islands,1968,4.82
Faeroe Islands,1972,6.03
Faeroe Islands,1976,7.97
Faeroe Islands,1980,9.7
Faeroe Islands,1984,11.07
Faeroe Islands,1988,11.21
Faeroe Islands,1992,13.81
Faeroe Islands,1996,14.98
Faeroe Islands,2000,14.49
Faeroe Islands,2004,14.46
Gibraltar,1968,2.53
Gibraltar,1972,2.54
Gibraltar,1976,2.59
Gibraltar,1980,3.01
Gibraltar,1984,1.17
Gibraltar,1988,2.44
Gibraltar,1992,3.25
Gibraltar,1996,7.13
Gibraltar,2000,12.1
Gibraltar,2004,13.44
