Country,Sector,Budget
Australia,1,134.2684595
Australia,2,150
Australia,3,146.6221874
Australia,4,140.6472076
Australia,5,136.972552
Belgium,1,66.07337871
Belgium,2,98.76680165
Belgium,3,67.99196444
Belgium,4,65.46116122
Belgium,5,63.37686321
Canada,1,34.83015866
Canada,2,43.65243774
Canada,3,39.87739836
Canada,4,41.17785026
Canada,5,46.11805411
Denmark,1,23.86307377
Denmark,2,35.63056188
Denmark,3,31.85624564
Denmark,4,46.21031746
Denmark,5,62.38501027
France,1,18.31812077
France,2,16.89009643
France,3,14.66578755
France,4,12.6899406
France,5,24.63296691
