Country,Sector,Budget
Australia,1,52.8
Australia,2,53.8
Australia,3,56.3
Australia,4,55.9
Australia,5,56.9
Belgium,1,39.27257718
Belgium,2,41.25253955
Belgium,3,43.69794928
Belgium,4,46.55301621
Belgium,5,51.34335111
Canada,1,33.60752056
Canada,2,36.95652174
Canada,3,43.18448884
Canada,4,49.27536232
Canada,5,53.81903643
Denmark,1,16.66666667
Denmark,2,20
Denmark,3,26.66666667
Denmark,4,26.66666667
Denmark,5,30
France,1,56.42127888
France,2,56.42127888
France,3,56.42127888
France,4,59.10800645
France,5,64.48146158
