Country,Sector,Budget
Australia,1,64.9
Australia,2,61.2
Australia,3,64
Australia,4,74.9
Australia,5,79.9
Belgium,1,56.03950503
Belgium,2,57.01297894
Belgium,3,57.36597666
Belgium,4,58.36067191
Belgium,5,58.2196407
Canada,1,54.30865648
Canada,2,54.05405405
Canada,3,53.76028202
Canada,4,53.66235801
Canada,5,53.85820603
Denmark,1,30
Denmark,2,30
Denmark,3,30
Denmark,4,33.33333333
Denmark,5,43.33333333
France,1,68.24288017
France,2,71.46695325
France,3,73.6163353
France,4,77.91509941
France,5,79.52713595
