Country,Year,Value
Australia,2000,2366.88
Australia,2001,2507.97
Australia,2002,2721.69
Australia,2003,2898.24
Australia,2004,3057.5
Belgium,2000,2114.08
Belgium,2001,2261.29
Belgium,2002,2415.51
Belgium,2003,2840.41
Belgium,2004,3073.78
Canada,2000,2344.65
Canada,2001,2561.63
Canada,2002,2535.7
Canada,2003,2645.58
Canada,2004,2637.94
Denmark,2000,2031.3
Denmark,2001,2102.76
Denmark,2002,2279.74
Denmark,2003,2374.11
Denmark,2004,2299.23
France,2000,2371.55
France,2001,2695.15
France,2002,2894.87
France,2003,3287.49
France,2004,3085.41
