Country,Sector,Budget
Australia,1,379.3622032
Australia,2,371.6135718
Australia,3,362.845386
Australia,4,504.476661
Australia,5,446.6963446
Belgium,1,311.8603973
Belgium,2,179.2815339
Belgium,3,155.1230818
Belgium,4,206.1823807
Belgium,5,218.3070104
Canada,1,169.944222
Canada,2,124.0311332
Canada,3,61.82934199
Canada,4,94.06445038
Canada,5,89.28864442
Denmark,1,38.85814447
Denmark,2,41.65104813
Denmark,3,44.13184249
Denmark,4,47.94757038
Denmark,5,50.84343867
France,1,117.6046068
France,2,132.2498288
France,3,111.3038478
France,4,126.6932791
France,5,142.4409974
