Country,Sector,Budget
Australia,1,9.2542362
Australia,2,9.0993869
Australia,3,8.9903223
Australia,4,8.1644573
Australia,5,7.2617136
Belgium,1,6.6630102
Belgium,2,6.0644751
Belgium,3,7.0381246
Belgium,4,6.5205856
Belgium,5,7.038653
Canada,1,6.4504109
Canada,2,6.2344373
Canada,3,5.8371565
Canada,4,5.6873667
Canada,5,6.0851088
Denmark,1,4.7848537
Denmark,2,4.7856809
Denmark,3,4.9754746
Denmark,4,5.1297096
Denmark,5,3.4860146
France,1,10.1290594
France,2,9.7588627
France,3,9.578287
France,4,10.3509422
France,5,7.4451595
