Country,Sector,Budget
Australia,1,12.2341608
Australia,2,31.86419789
Australia,3,31.06962873
Australia,4,31.57162433
Australia,5,24.02296235
Belgium,1,10.78081028
Belgium,2,20.12479079
Belgium,3,29.08164975
Belgium,4,8.702021408
Belgium,5,5.085258851
Canada,1,6.277700308
Canada,2,9.991809992
Canada,3,9.040318408
Canada,4,6.076384106
Canada,5,15.65511981
Denmark,1,13.69280768
Denmark,2,11.25239325
Denmark,3,11.22340547
Denmark,4,11.22359345
Denmark,5,11.22337118
France,1,14.25237904
France,2,7.560932461
France,3,8.21938237
France,4,7.254565634
France,5,3.967354341
