Country,Sector,Budget
Australia,1,17.32413164
Australia,2,36.64906886
Australia,3,40.01653614
Australia,4,52.21935259
Australia,5,37.28323754
Belgium,1,21.81571816
Belgium,2,45.32269761
Belgium,3,47.87208464
Belgium,4,36.36363636
Belgium,5,37.65848524
Canada,1,40.29017258
Canada,2,50.77738833
Canada,3,67.20700578
Canada,4,10.06227681
Canada,5,29.73615749
Denmark,1,26.59380692
Denmark,2,23.09612984
Denmark,3,23.83073497
Denmark,4,47.90681972
Denmark,5,30.18845531
France,1,30.25829314
France,2,24.21051823
France,3,35.06032774
France,4,27.3323232
France,5,59.73239437
