Country,Sector,Budget
Australia,1,65.55560575
Australia,2,76.06476912
Australia,3,89.33162466
Australia,4,99.79400008
Australia,5,104.2138291
Belgium,1,96.50847171
Belgium,2,96.07997325
Belgium,3,94.99326912
Belgium,4,92.77214278
Belgium,5,89.81384676
Canada,1,56.1393679
Canada,2,95.5016254
Canada,3,81.39138891
Canada,4,69.04930487
Canada,5,62.30927683
Denmark,1,27.98357952
Denmark,2,39.04135919
Denmark,3,40.92304191
Denmark,4,42.76810108
Denmark,5,42.01087346
France,1,67.66517441
France,2,78.15458664
France,3,81.57354931
France,4,83.971026
France,5,95.14363172
