Country,Sector,Budget
Australia,1,21.37919148
Australia,2,29.09539201
Australia,3,29.43205797
Australia,4,27.96725172
Australia,5,28.31658291
Belgium,1,17.12998423
Belgium,2,21.77271567
Belgium,3,13.62543067
Belgium,4,14.68512608
Belgium,5,20.3819052
Canada,1,21.67385592
Canada,2,17.32681313
Canada,3,13.97804248
Canada,4,25.18530927
Canada,5,15.65619841
Denmark,1,4.192849273
Denmark,2,7.936718958
Denmark,3,4.302954839
Denmark,4,11.42030583
Denmark,5,7.581187749
France,1,40.18036538
France,2,32.67917345
France,3,39.25724134
France,4,43.15274676
France,5,43.90319324
