Country,Sector,Budget
Australia,1,10.12345679
Australia,2,10.18329939
Australia,3,12.68292683
Australia,4,25.02157032
Australia,5,43.48404663
Belgium,1,29.19345412
Belgium,2,21.34331378
Belgium,3,43.70591427
Belgium,4,32.42691771
Belgium,5,27.70037699
Canada,1,23.9715706
Canada,2,32.88702886
Canada,3,26.16459587
Canada,4,43.91662654
Canada,5,27.68959527
Denmark,1,16.38417386
Denmark,2,15.09973012
Denmark,3,16.38250628
Denmark,4,52.68816077
Denmark,5,21.33332902
France,1,13.15273156
France,2,16.09262265
France,3,18.47476487
France,4,16.23124529
France,5,3.161763922
