Country,Sector,Budget
Australia,1,39.42228041
Australia,2,40.70701984
Australia,3,44.31603584
Australia,4,44.67979837
Australia,5,43.77383632
Belgium,1,17.6238629
Belgium,2,18.40725046
Belgium,3,14.96562051
Belgium,4,14.93543728
Belgium,5,20.49432528
Canada,1,18.23936737
Canada,2,19.84950915
Canada,3,18.98088283
Canada,4,11.66917812
Canada,5,12.19993924
Denmark,1,7.469819896
Denmark,2,10.12782347
Denmark,3,11.83417984
Denmark,4,12.13171869
Denmark,5,9.042219938
France,1,6.658887707
France,2,7.440989032
France,3,4.09507387
France,4,4.678151876
France,5,6.603632344
