Country,Sector,Budget
Australia,1,11.293865
Australia,2,10.6930683
Australia,3,7.9582037
Australia,4,12.5148296
Australia,5,12.0961589
Belgium,1,2.9523833
Belgium,2,2.8505541
Belgium,3,3.1426582
Belgium,4,7.5978967
Belgium,5,7.4757681
Canada,1,2.9630479
Canada,2,2.1810356
Canada,3,1.4611853
Canada,4,6.2585806
Canada,5,6.052978
Denmark,1,6.7162576
Denmark,2,6.4099465
Denmark,3,5.7799588
Denmark,4,5.489693
Denmark,5,4.2752525
France,1,1.3447935
France,2,1.4127071
France,3,1.5889262
France,4,4.05443
France,5,3.4819303
