Country,Year,Value
Australia,2000,2824.27
Australia,2001,2793.98
Australia,2002,2924.12
Australia,2003,3007.77
Australia,2004,3041.04
Belgium,2000,2452.92
Belgium,2001,2414.13
Belgium,2002,2571.07
Belgium,2003,2741.77
Belgium,2004,1768.91
Canada,2000,2299.16
Canada,2001,2396.95
Canada,2002,2451.39
Canada,2003,1746.55
Canada,2004,1774.64
Denmark,2000,1651.07
Denmark,2001,2385
Denmark,2002,2365.48
Denmark,2003,2491.29
Denmark,2004,2422.43
France,2000,1651.07
France,2001,2085.05
France,2002,2113.87
France,2003,1823.56
France,2004,1994.42
