Country,Sector,Budget
Australia,1,13850.93236
Australia,2,16071.86461
Australia,3,16217.28318
Australia,4,18316.55117
Australia,5,20062.55793
Belgium,1,2578.690752
Belgium,2,3000.057382
Belgium,3,4806.445405
Belgium,4,9423.305324
Belgium,5,10374.28802
Canada,1,1908.274653
Canada,2,2315.762876
Canada,3,3732.893312
Canada,4,4776.903512
Canada,5,5639.376116
Denmark,1,1573.979842
Denmark,2,1430.72106
Denmark,3,1291.974931
Denmark,4,1603.787172
Denmark,5,2862.453312
France,1,898.9789333
France,2,1161.349071
France,3,1603.248665
France,4,2066.560777
France,5,2235.584393
