Country,Sector,Budget
Australia,1,206.5622684
Australia,2,205.5509567
Australia,3,205.5897112
Australia,4,207.2411749
Australia,5,201.6583176
Belgium,1,180.4865924
Belgium,2,163.2032984
Belgium,3,166.1537117
Belgium,4,173.1674672
Belgium,5,117.472285
Canada,1,180.3927696
Canada,2,129.2895309
Canada,3,124.954782
Canada,4,86.85815423
Canada,5,89.24540778
Denmark,1,47.3042919
Denmark,2,57.75325802
Denmark,3,73.22357184
Denmark,4,103.318876
Denmark,5,114.5731013
France,1,210.3329385
France,2,224.0381916
France,3,228.9975182
France,4,201.4788306
France,5,193.8742593
