Country,Sector,Budget
Australia,1,373.0585553
Australia,2,246.7907594
Australia,3,236.012317
Australia,4,228.2728156
Australia,5,221.3836439
Belgium,1,368.5623952
Belgium,2,199.1604465
Belgium,3,195.5647072
Belgium,4,186.633509
Belgium,5,191.4226625
Canada,1,360.5535329
Canada,2,251.292115
Canada,3,213.6157996
Canada,4,207.5326133
Canada,5,170.2674836
Denmark,1,6.265565879
Denmark,2,6.457375081
Denmark,3,11.04241905
Denmark,4,19.48898388
Denmark,5,36.33826727
France,1,479.740547
France,2,351.9864612
France,3,298.2144318
France,4,338.1586253
France,5,299.3364642
