Country,Sector,Budget
Australia,1,8753.164288
Australia,2,10452.02901
Australia,3,11361.32591
Australia,4,12331.18686
Australia,5,12792.80995
Belgium,1,7461.771746
Belgium,2,8528.523202
Belgium,3,9435.086346
Belgium,4,10217.38249
Belgium,5,11483.95875
Canada,1,4683.717879
Canada,2,5845.752503
Canada,3,6346.282835
Canada,4,7781.02743
Canada,5,8647.94055
Denmark,1,2181.117943
Denmark,2,2436.38674
Denmark,3,2631.228642
Denmark,4,3158.035041
Denmark,5,4030.557624
France,1,6910.779264
France,2,9852.045197
France,3,10519.28763
France,4,12546.03179
France,5,14033.85355
