Country,Sector,Budget
Australia,1,14.88887176
Australia,2,19.73481732
Australia,3,21.5487456
Australia,4,26.87202303
Australia,5,23.05805961
Belgium,1,22.33382461
Belgium,2,16.90338645
Belgium,3,15.21378387
Belgium,4,21.23896499
Belgium,5,20.01022263
Canada,1,20.11278593
Canada,2,20.17228426
Canada,3,19.40496938
Canada,4,20.05730012
Canada,5,19.55661877
Denmark,1,18.26549952
Denmark,2,13.60484741
Denmark,3,13.44993308
Denmark,4,14.05830411
Denmark,5,12.92333777
France,1,32.41499564
France,2,30.3422711
France,3,29.84411954
France,4,27.15943535
France,5,28.41413505
