Country,Sector,Budget
Australia,1,82.36318769
Australia,2,82.47931485
Australia,3,82.98737117
Australia,4,83.13253012
Australia,5,82.68253738
Belgium,1,28.23307324
Belgium,2,29.24238611
Belgium,3,31.39692927
Belgium,4,32.80896048
Belgium,5,37.67178455
Canada,1,25.56924225
Canada,2,26.12915267
Canada,3,27.3422919
Canada,4,28.46211273
Canada,5,35.3210153
Denmark,1,64.70588235
Denmark,2,58.82352941
Denmark,3,58.82352941
Denmark,4,47.05882353
Denmark,5,47.05882353
France,1,63.81059752
France,2,58.06087937
France,3,55.58060879
France,4,53.55129651
France,5,52.31116122
