Country,Sector,Budget
Australia,1,22.94080142
Australia,2,22.00914038
Australia,3,25.18792358
Australia,4,23.35664736
Australia,5,22.60404022
Belgium,1,17.38597965
Belgium,2,17.96651308
Belgium,3,18.57446687
Belgium,4,17.90805853
Belgium,5,18.31162136
Canada,1,19.45509688
Canada,2,19.82966324
Canada,3,16.80994838
Canada,4,14.15747875
Canada,5,13.75588172
Denmark,1,13.95644576
Denmark,2,17.47080232
Denmark,3,12.6968412
Denmark,4,13.49214082
Denmark,5,13.28660355
France,1,27.40590234
France,2,30.48176228
France,3,29.27989781
France,4,31.89760201
France,5,27.5296553
