Country,Sector,Budget
Australia,1,90.10220111
Australia,2,89.14462565
Australia,3,84.6015193
Australia,4,78.34319811
Australia,5,68.62100478
Belgium,1,95.79316709
Belgium,2,84.6228686
Belgium,3,63.37497472
Belgium,4,64.15733117
Belgium,5,68.29469111
Canada,1,61.66256949
Canada,2,30.68413392
Canada,3,35.11069165
Canada,4,100.7844444
Canada,5,80.54220177
Denmark,1,48.78747842
Denmark,2,62.93643014
Denmark,3,66.50623055
Denmark,4,68.13094035
Denmark,5,69.46645185
France,1,97.81362693
France,2,81.1399779
France,3,88.84612023
France,4,108.801283
France,5,130.9166573
