Country,Sector,Budget
Australia,1,33.57357451
Australia,2,46.93301435
Australia,3,39.24328338
Australia,4,23.17841313
Australia,5,38.94034828
Belgium,1,29.92720971
Belgium,2,22.12974543
Belgium,3,17.64101479
Belgium,4,18.52259515
Belgium,5,17.71990781
Canada,1,28.10552234
Canada,2,25.08756567
Canada,3,14.35429143
Canada,4,11.19495239
Canada,5,9.291121817
Denmark,1,1.484810316
Denmark,2,1.933415071
Denmark,3,13.52240655
Denmark,4,10.7120251
Denmark,5,13.01240301
France,1,31.87074225
France,2,34.17958075
France,3,35.95185839
France,4,36.05736088
France,5,38.77908913
