icao24,callsign,longitude,latitude,baro_altitude,velocity,on_ground,heading,vertical_rate,squawk,time,trajectory_number
'7c7cc6','HM5',144.9034,-37.7134,144.78,33.85,FALSE,253.22,-1.63,'0045',1551242236,0.00000000
'7c7cc6','HM5',144.9008,-37.7159,106.68,22.66,FALSE,182.6,-2.28,'0045',1551242251,0.06666667
'7c7cc6','HM5',144.9008,-37.719,76.2,17.01,FALSE,176.53,-2.93,'0045',1551242269,0.13333333
'7c7cc6','HM5',144.9008,-37.72,53.34,9.79,FALSE,183.01,-1.63,'0045',1551242278,0.20000000
'7c7cc6','HM5',144.9007,-37.7204,53.34,6.36,FALSE,194.04,-1.3,'0045',1551242283,0.26666667
'7c7cc6','HM5',144.9014,-37.7318,220.98,34.02,FALSE,176.53,4.88,None,1551245179,0.33333333
'7c7cc6','HM5',144.9016,-37.7342,259.08,37.17,FALSE,175.24,4.88,'0045',1551245187,0.40000000
'7c7cc6','HM5',144.9017,-37.7388,320.04,43.22,FALSE,179.32,4.88,'0045',1551245199,0.46666667
'7c7cc6','HM5',144.9018,-37.7431,373.38,46.83,FALSE,178.74,4.88,'0045',1551245209,0.53333333
'7c7cc6','HM5',144.9019,-37.7472,411.48,49.9,FALSE,180,2.28,'0045',1551245219,0.60000000
'7c7cc6','HM5',144.9021,-37.7574,426.72,61.79,FALSE,177.61,-0.33,'0045',1551245239,0.66666667
'7c7cc6','HM5',144.9022,-37.7633,426.72,65.34,FALSE,179.55,-0.65,'0045',1551245250,0.73333333
'7c7cc6','HM5',144.9024,-37.7696,419.1,68.42,FALSE,180,0.33,'0045',1551245260,0.80000000
'7c7cc6','HM5',144.902,-37.775,426.72,69.13,FALSE,184.27,0.33,'0045',1551245269,0.86666667
'7c7cc6','HM5',144.9014,-37.7814,426.72,68.61,FALSE,184.3,-0.33,'0045',1551245279,0.93333333
'7c7cc6','HM5',144.9009,-37.7875,426.72,68.54,FALSE,183.44,0.33,'0045',1551245289,1.00000000
'7c7aae','VOZ749',144.7496,-37.7488,1653.54,133.49,FALSE,300.32,12.68,'1425',1551242239,0.00000000
'7c7aae','VOZ749',144.739,-37.7404,1783.08,135.82,FALSE,319.92,13.66,'1425',1551242249,0.07142857
'7c7aae','VOZ749',144.7316,-37.7291,1935.48,138.43,FALSE,338.87,16.58,'1425',1551242259,0.14285714
'7c7aae','VOZ749',144.7286,-37.7183,2057.4,140.34,FALSE,351.78,15.28,'1425',1551242268,0.21428571
'7c7aae','VOZ749',144.7302,-37.7043,2217.42,143.88,FALSE,10.51,15.28,'1425',1551242279,0.28571429
'7c7aae','VOZ749',144.7358,-37.6916,2346.96,146.93,FALSE,21.35,13.66,'1425',1551242289,0.35714286
'7c7aae','VOZ749',144.7419,-37.6791,2484.12,148.85,FALSE,21.07,14.63,'1425',1551242299,0.42857143
'7c7aae','VOZ749',144.7542,-37.6539,2758.44,151.62,FALSE,21.08,14.63,'1425',1551242319,0.50000000
'7c7aae','VOZ749',144.7601,-37.6415,2887.98,153.54,FALSE,20.8,13.98,'1425',1551242329,0.57142857
'7c7aae','VOZ749',144.7666,-37.628,3032.76,155.17,FALSE,20.78,14.31,'1425',1551242339,0.64285714
'7c7aae','VOZ749',144.7729,-37.6149,3169.92,156.68,FALSE,21.17,13,'1425',1551242349,0.71428571
'7c7aae','VOZ749',144.7792,-37.6019,3223.26,162.22,FALSE,21.19,3.58,'1425',1551242359,0.78571429
'7c7aae','VOZ749',144.7862,-37.5878,3284.22,168.99,FALSE,21.8,6.5,'1425',1551242369,0.85714286
'7c7aae','VOZ749',144.7938,-37.5744,3329.94,174.88,FALSE,25.43,5.2,'1425',1551242378,0.92857143
'7c7aae','VOZ749',144.804,-37.5597,3390.9,181.49,FALSE,30.49,9.43,'1425',1551242389,1.00000000
'7c7aa6','VOZ188',144.9691,-37.6693,632.46,97.46,FALSE,273.93,-5.2,'0273',1551242239,0.00000000
'7c7aa6','VOZ188',144.9586,-37.6687,586.74,95.44,FALSE,274.33,-4.55,'0273',1551242249,0.08333333
'7c7aa6','VOZ188',144.9476,-37.6681,533.4,92.88,FALSE,274.45,-5.2,'0273',1551242259,0.16666667
'7c7aa6','VOZ188',144.9376,-37.6674,487.68,90.79,FALSE,274.22,-5.2,'0273',1551242269,0.25000000
'7c7aa6','VOZ188',144.9275,-37.6669,441.96,89.25,FALSE,274.3,-4.88,'0273',1551242279,0.33333333
'7c7aa6','VOZ188',144.9186,-37.6664,403.86,87.71,FALSE,274.37,-4.88,'0273',1551242288,0.41666667
'7c7aa6','VOZ188',144.9088,-37.6657,358.14,84.05,FALSE,273.86,-4.55,'0273',1551242298,0.50000000
'7c7aa6','VOZ188',144.89,-37.6647,274.32,76.9,FALSE,274.6,-4.55,'0273',1551242319,0.58333333
'7c7aa6','VOZ188',144.8813,-37.6642,236.22,77.37,FALSE,274.19,-3.9,'0273',1551242329,0.66666667
'7c7aa6','VOZ188',144.8726,-37.6636,198.12,76.99,FALSE,275.37,-5.85,'0273',1551242339,0.75000000
'7c7aa6','VOZ188',144.8655,-37.6632,167.64,76.82,FALSE,273.84,-3.25,'0273',1551242347,0.83333333
'7c7aa6','VOZ188',144.8555,-37.6627,121.92,74.34,FALSE,274.76,-3.9,'0273',1551242359,0.91666667
'7c7aa6','VOZ188',144.8542,-37.6626,107.18,74.81,FALSE,274.34,-3.9,'0273',1551242360,1.00000000
'7c5cde','SMO',144.9015,-37.7344,137.16,63.87,FALSE,177.23,8.45,'4244',1551242246,0.00000000
