Country,Sector,Budget
Australia,1,14637.49639
Australia,2,15297.44648
Australia,3,14832.65065
Australia,4,15087.62598
Australia,5,14894.22548
Belgium,1,13614.57575
Belgium,2,14054.15042
Belgium,3,13771.01042
Belgium,4,14033.56224
Belgium,5,14204.90259
Canada,1,10073.42411
Canada,2,11414.78444
Canada,3,11856.43603
Canada,4,12778.28802
Canada,5,14153.167
Denmark,1,4803.543383
Denmark,2,4721.823686
Denmark,3,8290.076278
Denmark,4,9385.28044
Denmark,5,10562.05701
France,1,14508.84366
France,2,15670.72397
France,3,14828.23653
France,4,15922.75404
France,5,20080.25613
